	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
1	Atr_99_01_HFGGJBBXY	0.28202676864244747	0.00982299766944873	102.0	Atr_99	Atr	0.27985414767547856	0.2894257	0.26891524
2	Atr_99_02_HFGGJBBXY	0.2700282752120641	0.009665204787457976	72.0	Atr_99	Atr	0.26845943482224244	0.278031	0.2611668
3	Atr_99_03_HFGGJBBXY	0.27374824520355634	0.00978561798622226	57.0	Atr_99	Atr	0.272105742935278	0.28030995	0.29261622
4	Atr_99_04_HFGGJBBXY	0.2696682464454976	0.009202445495270235	84.0	Atr_99	Atr	0.264813126709207	0.27666363	0.25934365
5	Atr_99_05_HFGGJBBXY	0.3198887343532685	0.008792745831829282	37.0	Atr_99	Atr	0.3181403828623519	0.32406563	0.33135825
6	Atr_99_06_HFGGJBBXY	0.2352657004830918	0.009105060883377907	124.0	Atr_99	Atr	0.22971741112123978	0.24840474	0.2784868
7	Atr_99_07_HFGGJBBXY	0.27908089995213026	0.009420150945154606	105.0	Atr_99	Atr	0.27301731996353695	0.28669098	0.26572472
8	Atr_99_08_HFGGJBBXY	0.2878716375648891	0.008800229347274303	75.0	Atr_99	Atr	0.28395624430264355	0.29580674	0.278031
9	Atr_99_09_HFGGJBBXY	0.3125585754451734	0.00976845003190375	60.0	Atr_99	Atr	0.3076572470373746	0.31586143	0.30401093
10	Atr_99_10_HFGGJBBXY	0.29026217228464424	0.011073414892355603	58.0	Atr_99	Atr	0.28577939835916133	0.29443938	0.3090246
11	Atr_99_11_HFGGJBBXY	0.22552204176334112	0.009479932896239626	39.0	Atr_99	Atr	0.22424794895168643	0.23290794	0.22151321
12	Atr_99_12_HFGGJBBXY	0.29453681710213775	0.010072023632326075	89.0	Atr_99	Atr	0.2889699179580675	0.30218777	0.28258887
13	Atr_99_13_HFGGJBBXY	0.2469018112488084	0.00924987180980095	96.0	Atr_99	Atr	0.24430264357338194	0.2584321	0.23609845
14	Atr_99_14_HFGGJBBXY	0.2726843100189036	0.009908879279476562	78.0	Atr_99	Atr	0.268003646308113	0.27711943	0.2985415
15	Atr_99_15_HFGGJBBXY	0.2669573643410853	0.010376144398323921	130.0	Atr_99	Atr	0.26025524156791247	0.27939835	0.25113946
16	Atr_99_16_HFGGJBBXY	0.2779342723004695	0.010472172000993308	64.0	Atr_99	Atr	0.276207839562443	0.28258887	0.29899725
17	Atr_99_17_HFGGJBBXY	0.2632325141776938	0.010039664099975906	78.0	Atr_99	Atr	0.2584320875113947	0.27119416	0.2894257
18	Atr_99_18_HFGGJBBXY	0.24674721189591076	0.008365491954595284	42.0	Atr_99	Atr	0.24612579762989972	0.25205106	0.2611668
19	Atr_99_19_HFGGJBBXY	0.2564593301435407	0.010548764243318265	104.0	Atr_99	Atr	0.2506836827711941	0.26754785	0.29170465
20	Atr_99_20_HFGGJBBXY	0.28697264719517845	0.010216651979990785	37.0	Atr_99	Atr	0.28623518687329075	0.2903373	0.2821331
21	Atr_99_21_HFGGJBBXY	0.29995276334435517	0.009640913516799332	77.0	Atr_99	Atr	0.2962625341841386	0.31130356	0.2894257
22	Atr_99_22_HFGGJBBXY	0.29255813953488374	0.009673105703580988	44.0	Atr_99	Atr	0.2898814949863263	0.29580674	0.30674568
23	Atr_99_23_HFGGJBBXY	0.2684563758389261	0.009724235118609719	108.0	Atr_99	Atr	0.26435733819507745	0.27666363	0.25524157
24	Atr_99_24_HFGGJBBXY	0.2887931034482759	0.009462174292349803	106.0	Atr_99	Atr	0.2853236098450319	0.29945305	0.32315406
25	Atr_99_25_HFGGJBBXY	0.27159904534606205	0.010645995662705864	99.0	Atr_99	Atr	0.2670920692798542	0.28030995	0.25934365
26	Atr_99_26_HFGGJBBXY	0.3050299953853254	0.008293287193820876	27.0	Atr_99	Atr	0.3026435733819508	0.30811304	0.3012762
27	Atr_99_28_HFGGJBBXY	0.2790922259777885	0.010134304716698652	123.0	Atr_99	Atr	0.2716499544211486	0.29079306	0.26344576
28	Atr_99_29_HFGGJBBXY	0.2626404494382022	0.010349270109806461	58.0	Atr_99	Atr	0.2588878760255242	0.269371	0.25569737
29	Atr_99_30_HFGGJBBXY	0.266152362584378	0.01010323815783201	120.0	Atr_99	Atr	0.26207839562443025	0.27939835	0.25159526
